block,relation,N,rho,p,q
external,catalogue_literature_consistency,61,0.7616680352919059,1.022193088878983e-12,1.022193088878983e-12
external,Gaia_EDR3_PM_profile_validation,101,0.3724519510774606,0.000125331090356,0.000125331090356
direct_environment,r_peri_kpc,115,-0.3390799496880566,0.0002097718189671,0.0008390872758687
direct_environment,r_apo_kpc,115,-0.2849426729566573,0.0020250179766521,0.0027000239688695
direct_environment,eccentricity,115,0.1186853941450327,0.206472219525254,0.206472219525254
direct_environment,r_gc_kpc,115,-0.3034700440510807,0.0009775416502587,0.0019550833005175
strict_sensitivity,r_peri_kpc,103,-0.2729559196850987,0.0052777901080165,0.0193256629090716
strict_sensitivity,r_apo_kpc,103,-0.0921187027106332,0.3547252846864819,0.3547252846864819
strict_sensitivity,eccentricity,103,0.2538769055045469,0.0096628314545358,0.0193256629090716
strict_sensitivity,r_gc_kpc,103,-0.1193788062830519,0.2297213616448354,0.3062951488597806
controlled_pericentre,structural,115,-0.1366454632811855,0.1453397967083532,0.2180096950625298
controlled_pericentre,selection,115,-0.3329344655538508,0.0002773224922707,0.0008319674768121
controlled_pericentre,full,115,-0.063932119400988,0.4972640631870544,0.4972640631870544
potential_raw_fiducial,log_lambda_max_peri vs primary_a_rot_los_kms,115,0.3390799496880565,0.0002097718189671,0.0003146577284507
potential_raw_fiducial,log_Tphi_peri vs log1p_Arot,115,-0.3827665114811016,2.4235066439269848e-05,7.270519931780955e-05
potential_raw_fiducial,log_fJ_peri vs log1p_Arot,115,-0.275443857018859,0.002888176432153,0.002888176432153
potential_controlled_fiducial,log_lambda_max_peri vs primary_a_rot_los_kms,115,0.0639321194009881,0.4972640631870544,0.8373364300127927
potential_controlled_fiducial,log_Tphi_peri vs log1p_Arot,115,0.0513629030194914,0.5856512955204868,0.8373364300127927
potential_controlled_fiducial,log_fJ_peri vs log1p_Arot,115,0.0193541184862274,0.8373364300127927,0.8373364300127927
differential_environment,Dvec_LOS vs r_peri_kpc,115,0.136983707115575,0.1443367973724746,0.2886735947449492
differential_environment,Dvec_LOS vs r_apo_kpc,115,0.0092204625621316,0.9220908395883484,0.9220908395883484
differential_environment,Dvec_LOS vs eccentricity,115,-0.143494042452458,0.1260363251796691,0.2886735947449492
differential_environment,Dvec_LOS vs r_gc_kpc,115,0.0302104910200624,0.7485852138991751,0.9220908395883484
differential_vs_global_rotation,Dvec_LOS vs primary_a_rot_los_kms,115,-0.4265998579657539,1.9941897510289754e-06,1.9941897510289754e-06
